"Name","LastKnownName","UEN","SocietyRegisteredAddress","RegisteredDate"
" Alps-Parc Central Residents' Network","","T25SS0068D","5 TAMPINES AVENUE 3, TAMPINES WEST COMMUNITY CLUB, Singapore 529705","2025-05-15"
" Balam Residents' Network","Balam Residents' Committee","S82SS0077A","31 BALAM ROAD, #01-109 BALAM GARDENS, Singapore 370031","1982-07-26"
" BISHAN EAST-SIN MING CITIZENS' CONSULTATIVE COMMITTEE","Bishan East-Thomson Citizens' Consultative Committee","S92SS0127C","51 Bishan Street 13, Singapore 579799","1992-08-06"
" English Proficiency Standards Association","","T25SS0088C","634 VEERASAMY ROAD, #01-146 ROWELL COURT, Singapore 200634","2025-06-12"
" Lucky Oak Residents' Network","","T24SS0150F","850 NEW UPPER CHANGI ROAD, BEDOK COMMUNITY CENTRE, Singapore 467352","2024-11-28"
" Marine Crescent Gardens Residents' Network","Marine Crescent Gardens Residents' Committee","S80SS0235E","44 Marine Crescent, #01-10 , Singapore 440044","1980-12-15"
" Marine Drive View Residents' Network","Marine Drive View Residents' Committee","S80SS0238D","75 Marine Drive, #01-23 , Singapore 440075","1980-12-15"
" Marine Terrace Walk Residents' Network","Marine Terrace Walk Residents' Committee","S80SS0232F","5 Marine Terrace, #01-278 , Singapore 440005","1980-12-15"
" Sea Esta Residents' Network","","T26SS0083F","1 PASIR RIS DRIVE 4, #01-08 PASIR RIS EAST COMMUNITY CLUB, Singapore 519457","2026-04-30"
" Tampines CityLife Residents' Network","","T24SS0118J","10 TAMPINES STREET 23, TAMPINES EAST COMMUNITY CLUB, Singapore 529341","2024-09-19"
" Tampines Meridian Junior College Alumni Association","","T24SS0079L","21 PASIR RIS STREET 71, TAMPINES MERIDIAN JUNIOR COLLEGE, Singapore 518799","2024-06-27"
"1 Fortis","","T26SS0079K","43 PASIR PANJANG ROAD, BAYANIHAN CENTRE, Singapore 118503","2026-04-23"
"1.VfB Stuttgart Fanclub Asia (Singapore)","","T13SS0124L","37 ENG KONG CRESCENT, #04-04 ENG KONG GREEN, Singapore 599428","2013-07-12"
"111.12m","","T19SS0259E","48 BERWICK DRIVE, SERANGOON GARDEN ESTATE, Singapore 559927","2019-12-10"
"18 to 21 Marsiling Merchants' and Hawkers' Association","","T16SS0092A","19 MARSILING LANE, #01-291 , Singapore 730019","2016-05-20"
"1BUDDHISM","TRUUM SOCIETY","T15SS0174B","18 WOODLANDS SECTOR 2, WOODLANDS CONNECTION, Singapore 737681","2015-10-23"
"1YOUTH","","T17SS0216J","490 LORONG 6 TOA PAYOH, #03-15 HDB HUB, Singapore 310490","2017-11-15"
"2:52 Agora","","T20SS0185C","51 GOLDHILL PLAZA, #10-01 , Singapore 308900","2020-12-16"
"2=1 Marriage Ministries","Families for Life (Singapore)","T06SS0075J","3 GEYLANG EAST AVENUE 1, #05-11 CENTRAL GROVE, Singapore 389779","2006-05-05"
"21 And Beyond","","T16SS0225B","14 ROBINSON ROAD, #08-01 FAR EAST FINANCE BUILDING, Singapore 048545","2016-12-31"
"2G Society","","T17SS0198F","1014 GEYLANG EAST AVENUE 3, #05-240 GEYLANG EAST INDUSTRIAL ESTATE, Singapore 389729","2017-10-16"
"2tN","","T17SS0095E","46 Almond Crescent, Singapore 677800","2017-05-31"
"3:16 Church","","T13SS0015L","35 SELEGIE ROAD, #10-18 PARKLANE SHOPPING MALL, Singapore 188307","2013-01-28"
"312 MERIDIAN HEALTH SOCIETY","","T08SS0023B","2 BUKIT BATOK STREET 24, #06-10 SKYTECH, Singapore 659480","2008-01-15"
"316 Music Ministry","","T12SS0175E","2 EE TEOW LENG ROAD, Singapore 549646","2012-07-27"
"360 Project, The","Not Applicable","T11SS0080A","93 MEYER ROAD, #24-03 THE MEYERISE, Singapore 437986","2011-05-11"
"365 Cancer Prevention Society","CareCancer Society (Singapore)","T03SS0046H","11 IRVING PLACE, #08-01 TAI SENG POINT, Singapore 369551","2003-02-21"
"3G Reading Club","","T06SS0234H","529B Upper East Coast Road, Singapore 466561","2006-10-06"
"4S","Sathya Sai Social Service (Singapore)","S96SS0160E","3 EUNOS CRESCENT, #01-2585 , Singapore 400003","1996-09-13"
"503 Singing Club","","T16SS0173L","503 Jurong West Ave 1, #02-845 , Singapore 640503","2016-10-01"
