"Title","Url","ListingId","Location","Excerpt","Price"
"Fully Fitted Tuition And Enrichment Centre @ Kallang Bahru For Takeover","https://ebat.com.sg/listing/fully-fitted-tuition-and-enrichment-centre-kallang-bahru-for-takeover/","1219","D12 Toa Payoh | Balestier | Serangoon","** HDB Commercial Shop / Approx. 800 sqft ** Rental: $6,800/- (Fresh Lease) ** Takeover fee: $35,000 (negotiable) ** Student base and furnishings available (optional) ** Immediate takeover Prime Location ** Near Geylang Bahru MRT Station ** Close to Food Centre & Market ** Near Bendemeer Primary School ** Surrounded by a densely populated HDB","$ 35,000"
"Asset Sale ? Approved Childcare Site for Immediate Takeover (Serangoon North)","https://ebat.com.sg/listing/asset-sale-approved-childcare-site-for-immediate-takeover-serangoon-north/","1305","D19 Hougang | Sengkang | Punggol","?? Turnkey | Immediate Operations | Large Capacity with Indoor & Outdoor Play Areas Rare opportunity to acquire a well-configured, fully renovated and operational childcare centre located within a peaceful mixed housing estate in Serangoon North. Surrounded by landed homes, condominiums, and HDB developments, this site is ideally positioned to capture both expatriate and local","$ 280,000"
"Asset Sale ? Approved Childcare Site for Immediate Takeover (Serangoon North)","https://ebat.com.sg/listing/asset-sale-approved-childcare-site-for-immediate-takeover-serangoon-north/","1305","D19 Hougang | Sengkang | Punggol","?? Turnkey | Immediate Operations | Large Capacity with Indoor & Outdoor Play Areas Rare opportunity to acquire a well-configured, fully renovated and operational childcare centre located within a peaceful mixed housing estate in Serangoon North. Surrounded by landed homes, condominiums, and HDB developments, this site is ideally positioned to capture both expatriate and local","$ 280,000"
"Rarely Available ? Fully Fitted Functional International School Campus for Takeover","https://ebat.com.sg/listing/rarely-available-fully-fitted-functional-international-school-campus-for-takeover/","1292","D09 Orchard | Cairnhill | River Valley","Asset Sale ? Rarely Available ? Fully Fitted Functional International School Campus in Orchard Vicinity ? For Takeover A rare opportunity to acquire a fully fitted and operational international school campus located in the prestigious Orchard vicinity. Suitable for international schools, private education institutions, enrichment centres, training academies, or education operators looking for a ready campus","$ 0"
"Rarely Available ? Fully Fitted Functional International School Campus for Takeover","https://ebat.com.sg/listing/rarely-available-fully-fitted-functional-international-school-campus-for-takeover/","1292","D09 Orchard | Cairnhill | River Valley","Asset Sale ? Rarely Available ? Fully Fitted Functional International School Campus in Orchard Vicinity ? For Takeover A rare opportunity to acquire a fully fitted and operational international school campus located in the prestigious Orchard vicinity. Suitable for international schools, private education institutions, enrichment centres, training academies, or education operators looking for a ready campus","$ 0"
"Fully Fitted Tuition Site @ Serangoon Ctral for Takeover","https://ebat.com.sg/listing/tuition-site-serangoon-ctral-for-takeover/","1258","D19 Hougang | Sengkang | Punggol","Asset Sale: Fully Fitted Tuition Site for Takeover (Serangoon Ctral) ** HDB Shophouses / Approx. 700 sqft ** Rental: $3,500/- ** Lease Expires: Nov 2027 ** Student base and Teaching Materials available (optional) ** Immediate takeover ** Takeover fee: $58,000 (negotiable) Prime Location ** Near Serangoon MRT Station ** Close to Food Centre & Market","$ 58,000"
"Potential Student Care Site in Jurong West for Rent","https://ebat.com.sg/listing/potential-student-care-site-in-jurong-west-for-rent/","1300","D22 Jurong East | Jurong West","Ideal for Student Care / Tuition / Enrichment Centre | Near Lakeside MRT | No Takeover Fee Spacious HDB shophouse unit suitable for student care, tuition, or enrichment centre operators. Strategically located near Lakeside MRT and surrounded by multiple primary and secondary schools, offering strong student catchment. Property Details Size: Approx. 1,754 sqft Monthly Rental:","$ 10,500"
"Potential Education Site @ Jurong West St 41 for $?0? takeover","https://ebat.com.sg/listing/potential-education-site-jurong-west-st-41-for-0%e2%80%b3-takeover/","1269","D22 Jurong East | Jurong West","Ideal for Student Care / Tuition / Enrichment Centre | Near Lakeside MRT | No Takeover Fee Spacious HDB shophouse unit suitable for student care, tuition, or enrichment centre operators. Strategically located near Lakeside MRT and surrounded by multiple primary and secondary schools, offering strong student catchment. Property Details Size: Approx. 1,795 sqft Current Rental:","$ 0"
"Potential Education Site @ Jurong West St 41 for $?0? takeover","https://ebat.com.sg/listing/potential-education-site-jurong-west-st-41-for-0%e2%80%b3-takeover/","1269","D22 Jurong East | Jurong West","Ideal for Student Care / Tuition / Enrichment Centre | Near Lakeside MRT | No Takeover Fee Spacious HDB shophouse unit suitable for student care, tuition, or enrichment centre operators. Strategically located near Lakeside MRT and surrounded by multiple primary and secondary schools, offering strong student catchment. Property Details Size: Approx. 1,795 sqft Current Rental:","$ 0"
"Childcare Business in Jurong West for Sale ? Starter?s Choice","https://ebat.com.sg/listing/childcare-business-in-jurong-west-for-sale-starters-choice/","1009","D22 Jurong East | Jurong West","Jurong West / HDB Commercial Unit / Approx. 1,800 sq. ft. Starter?s Choice Approved Capacity: 36 Children (Class B). Approx. 33% Filled Fully. Operational. Well Kept. Condusive. Enclaved in Mixed Residential Estate (Condo & HDB). Lease Expire: Jan 2027. Immediate. Monthly Rental: $8K Asking: $88K Neg Viewing Preference: Mon to Fri: > 7pm / Sat","$ 88,000"
"Childcare Business in Jurong West for Sale ? Starter?s Choice","https://ebat.com.sg/listing/childcare-business-in-jurong-west-for-sale-starters-choice/","1009","D22 Jurong East | Jurong West","Jurong West / HDB Commercial Unit / Approx. 1,800 sq. ft. Starter?s Choice Approved Capacity: 36 Children (Class B). Approx. 33% Filled Fully. Operational. Well Kept. Condusive. Enclaved in Mixed Residential Estate (Condo & HDB). Lease Expire: Jan 2027. Immediate. Monthly Rental: $8K Asking: $88K Neg Viewing Preference: Mon to Fri: > 7pm / Sat","$ 88,000"
