"Title","Link","Agency","PublishedDate"
"PROVISION OF HEART RATE MONITORING FITNESS WEARABLES WITH DASHBOARD SUBSCRIPTION","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MHAICA03000028807","Ministry of Home Affairs - Immigration & Checkpoint Authority 1","29 Jun 2026 06:35 PM"
"Conceptualisation, Design, Production and Delivery of Composition Compilation Books in English Language and Mother Tongue Language for SKGPS in 2026","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26002361","Ministry of Education - Schools","29 Jun 2026 06:20 PM"
"(FY25/SOE/006/ITT) Gas Turbine Trainer","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NPO000ETT26000015","Ngee Ann Polytechnic","29 Jun 2026 05:50 PM"
"Procurement of the goods & services for the Provision of Caring SG Commuters Collectibles","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=PTC000ETQ26000005","Public Transport Council","29 Jun 2026 05:35 PM"
"[NEW] ITQ for Manpower Services for Science Laboratory Assistant for Yishun Town Sec Sch from 1 August 2026 to 31 December 2028","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26002366","Ministry of Education - Schools","29 Jun 2026 05:20 PM"
"INVITATION TO QUOTE FOR DESKTOP COMPUTERS, COMPUTER PERIPHERALS AND GENETIC DATA ANALYSIS SOFTWARE","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NPB000ETQ26000035","National Parks Board","29 Jun 2026 05:20 PM"
"PART A: BUILDING WORKS AT PROJECT CM-CN (TOTAL: 1,890 DWELLING UNITS); PART B: CONTINGENCY WORKS","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=HDB000ETT26000117","Housing and Development Board","29 Jun 2026 04:50 PM"
"PART A: BUILDING WORKS AT PROJECT DU (TOTAL: 1,695 DWELLING UNITS); PART B: CONTINGENCY WORKS","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=HDB000ETT26000116","Housing and Development Board","29 Jun 2026 04:50 PM"
"Choral Reading and Choral Speaking Workshop","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26002363","Ministry of Education - Schools","29 Jun 2026 04:35 PM"
"TPO-REQ-2026-004160-LF-Invitation to Quote for Prototype of TEC-VRF Hybrid Cooling System","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=TPO000ETQ26000084","Temasek Polytechnic","29 Jun 2026 04:20 PM"
