"Link","Title"
"https://github.com/#start-of-content","Skip to content"
"https://github.com/",""
"https://github.com/login?return_to=https%3A%2F%2Fgithub.com%2F0xsimao%2Faudits","Sign in"
"https://github.com/features/copilot","GitHub CopilotWrite better code with AI"
"https://github.com/features/spark","GitHub SparkBuild and deploy intelligent apps"
"https://github.com/features/models","GitHub ModelsManage and compare prompts"
"https://github.com/mcp","MCP RegistryNewIntegrate external tools"
"https://github.com/features/actions","ActionsAutomate any workflow"
"https://github.com/features/codespaces","CodespacesInstant dev environments"
"https://github.com/features/issues","IssuesPlan and track work"
"https://github.com/features/code-review","Code ReviewManage code changes"
"https://github.com/security/advanced-security","GitHub Advanced SecurityFind and fix vulnerabilities"
"https://github.com/security/advanced-security/code-security","Code securitySecure your code as you build"
"https://github.com/security/advanced-security/secret-protection","Secret protectionStop leaks before they start"
"https://github.com/why-github","Why GitHub"
"https://docs.github.com","Documentation"
"https://github.blog","Blog"
"https://github.blog/changelog","Changelog"
"https://github.com/marketplace","Marketplace"
"https://github.com/features","View all features"
"https://github.com/enterprise","Enterprises"
"https://github.com/team","Small and medium teams"
"https://github.com/enterprise/startups","Startups"
"https://github.com/solutions/industry/nonprofits","Nonprofits"
"https://github.com/solutions/use-case/app-modernization","App Modernization"
"https://github.com/solutions/use-case/devsecops","DevSecOps"
"https://github.com/solutions/use-case/devops","DevOps"
"https://github.com/solutions/use-case/ci-cd","CI/CD"
"https://github.com/solutions/use-case","View all use cases"
"https://github.com/solutions/industry/healthcare","Healthcare"
"https://github.com/solutions/industry/financial-services","Financial services"
"https://github.com/solutions/industry/manufacturing","Manufacturing"
"https://github.com/solutions/industry/government","Government"
"https://github.com/solutions/industry","View all industries"
"https://github.com/solutions","View all solutions"
"https://github.com/resources/articles?topic=ai","AI"
"https://github.com/resources/articles?topic=software-development","Software Development"
"https://github.com/resources/articles?topic=devops","DevOps"
"https://github.com/resources/articles?topic=security","Security"
"https://github.com/resources/articles","View all topics"
"https://github.com/customer-stories","Customer stories"
"https://github.com/resources/events","Events webinars"
"https://github.com/resources/whitepapers","Ebooks reports"
"https://github.com/solutions/executive-insights","Business insights"
"https://skills.github.com","GitHub Skills"
"https://support.github.com","Customer support"
"https://github.com/orgs/community/discussions","Community forum"
"https://github.com/trust-center","Trust center"
"https://github.com/partners","Partners"
"https://github.com/resources","View all resources"
"https://github.com/sponsors","GitHub SponsorsFund open source developers"
"https://securitylab.github.com","Security Lab"
"https://maintainers.github.com","Maintainer Community"
"https://github.com/accelerator","Accelerator"
"https://stars.github.com","GitHub Stars"
"https://archiveprogram.github.com","Archive Program"
"https://github.com/topics","Topics"
"https://github.com/trending","Trending"
"https://github.com/collections","Collections"
"https://github.com/features/copilot/copilot-business","Copilot for BusinessEnterprise-grade AI features"
"https://github.com/premium-support","Premium SupportEnterprise-grade 24/7 support"
"https://github.com/pricing","Pricing"
"https://docs.github.com/search-github/github-code-search/understanding-github-code-search-syntax","Search syntax tips"
"https://github.com/signup?ref_cta=Sign+up&amp;ref_loc=header+logged+out&amp;ref_page=%2F%3Cuser-name%3E%2F%3Crepo-name%3E&amp;source=header-repo&amp;source_repo=0xsimao%2Faudits","Sign up"
"https://github.com/0xsimao","0xsimao"
"https://github.com/0xsimao/audits","audits"
"https://github.com/login?return_to=%2F0xsimao%2Faudits","Notifications"
"https://github.com/0xsimao/audits/issues","Issues 0"
"https://github.com/0xsimao/audits/pulls","Pull requests 0"
"https://github.com/0xsimao/audits/actions","Actions"
"https://github.com/0xsimao/audits/projects","Projects"
"https://github.com/0xsimao/audits/security","Security and quality 0"
"https://github.com/0xsimao/audits/pulse","Insights"
"https://github.com/0xsimao/audits/branches","Branches"
"https://github.com/0xsimao/audits/tags","Tags"
"https://github.com/0xsimao/audits/commits/main/","32 Commits"
"https://github.com/0xsimao/audits/tree/main/img","img"
"https://github.com/0xsimao/audits/blob/main/.DS_Store",".DS_Store"
"https://github.com/0xsimao/audits/blob/main/2025-03-14-felix.pdf","2025-03-14-felix.pdf"
"https://github.com/0xsimao/audits/blob/main/2025-05-12-yieldoor.pdf","2025-05-12-yieldoor.pdf"
"https://github.com/0xsimao/audits/blob/main/2025-06-20-yieldoor.pdf","2025-06-20-yieldoor.pdf"
"https://github.com/0xsimao/audits/blob/main/2025-06-23-yieldoor.pdf","2025-06-23-yieldoor.pdf"
"https://github.com/0xsimao/audits/blob/main/2025-11-28-spirit-protocol.pdf","2025-11-28-spirit-protocol.pdf"
"https://github.com/0xsimao/audits/blob/main/README.md","README.md"
"https://github.com/#introduction",""
"https://www.0xsimao.com/","0xSimao"
"https://audits.sherlock.xyz/watson/0x73696d616f","$600K+"
"https://audits.sherlock.xyz/leaderboards","2nd Place"
"https://www.blackthorn.xyz/team","Blackthorn"
"https://threesigma.xyz/","Three Sigma"
"https://www.0xsimao.com/the-contest-academy","Contest Academy"
"https://t.me/OxSimao","Request an Audit"
"https://github.com/#private-audits",""
"https://github.com/maple-labs/maple-core-v2/blob/main/audits/2025-november/Sherlock-Maple-Finance-WM-Nov-2025.pdf","Report"
"https://github.com/maple-labs/maple-core-v2/blob/main/audits/2025-sept-governor-timelock/Sherlock-Maple-Finance-timelock-Sept-2025.pdf","Report"
"https://github.com/morpho-org/vault-v2/blob/main/audits/2025-09-15-blackthorn.pdf","Report"
"https://1503334455-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FpUhQzPJGdJzuLTQ5sCym%2Fuploads%2F8gq6et5OGqJHJGphqav6%2FSherlock-%20Audit%20report%20on%20USD0%2B%2B%20upgrade%20(Burn%20Redemption%20Mechanism).pdf?alt=media&amp;token=27674355-9c34-496e-970d-723f522221fa","Report"
"https://1570492309-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FffzDCMBDa391vIMqruBP%2Fuploads%2FUKDtjc6Dkn6P6i35j5H1%2FManaged%20Leverage%20Vaults%20v0%20private%20audit%20Sherlock.pdf?alt=media&amp;token=c7304efa-8040-4ed0-9a98-dc949af28a85","Report"
"https://github.com/1inch/1inch-audits/blob/master/Fees%20for%20LO%20and%20Fusion%20V1/Fee%20flow%20v1-Sherlock.pdf","Report"
"https://4221781861-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces/LXNTW9blcTeiKZrMFhab/uploads/QMsETA4dRNo2auiUSeOX/AIDa%20Vault%20Audit_20250411.pdf?alt=media&amp;token=5e2f84ea-9698-4fa7-81ef-503771d234aa","Report"
"https://drive.google.com/file/d/1knlIgoEGv5x33n9mhTLRqJe8T55r3HCy/view","Report"
"https://threesigma.xyz/case-studies/airdrop/pengu","Report"
"https://threesigma.xyz/case-studies/yield-farming/more-markets","Report"
"https://cdn.sanity.io/files/qoqld077/staging/a68d604be9eca467b1f656c2ca775e1cebc2a468.pdf","Report"
"https://threesigma.xyz/case-studies/oracle/ojo-network-smart-contract-audit-2","Report"
"https://threesigma.xyz/case-studies/launchpad/zoo.fun","Report"
"https://cdn.sanity.io/files/qoqld077/staging/d9e57830a75b5165fd56e8b88037de7986a165ec.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/staging/cd0627ebc0c012c250e35983143b0a3cdba00cad.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/d2a7ca81740e715b604122c12dafbce599e43f2f.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/686ad4e1d5035d69002f5f97e281e3c5a8b7ce00.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/75b68b74f4b0dc6fbcd94892d934547d8259b57a.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/e8fbb07b1854347b8d87929e76703b00c28fd2c7.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/b6b3bd7bb47407d99e76abb7c6dc615c1db5018e.pdf","Report"
"https://code4rena.com/audits/2024-07-benddao-invitational","Report"
"https://cdn.sanity.io/files/qoqld077/production/fd2142f1d189dd29db23dff49d4018d4da9c01d6.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/36dbe5ca76da3d2392bcee581548067705b8bd36.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/3e07b0c2806b62578b8031e88c59bc5dbd38de1b.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/staging/a66d788bb2f566afcaf033870e0e15b9127ae432.pdf","Report"
"https://threesigma.xyz/case-studies/institutional/keyring-network","Report"
"https://cdn.sanity.io/files/qoqld077/production/45b8aac56a2b8e3b557df4329ac9bf8220b64012.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/a95b9c69e0f65d1d6b0e649f0d62a362358ca8ce.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/staging/87f617e82d5468500e950a669f30607376b37c32.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/1b1ab4ff365756fe1d86767f1e06744407570f5a.pdf","Report"
"https://code4rena.com/reports/2024-01-init-capital-invitational","Report"
"https://cdn.sanity.io/files/qoqld077/production/1cdafafad874aba76e062ad8c216c98338c096db.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/c19530de75e234ad15694b4563edb1fc9d2a3fd8.pdf","Report"
"https://code4rena.com/reports/2023-12-initcapital","Report"
"https://cdn.sanity.io/files/qoqld077/production/34f2311ad7e8315d043e23054e794c136f19a079.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/c23d04c8223879d2443221caf3ccb55ac118441a.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/production/21bd3b6fa78c55968a6c9c7ea4fd49f34a8bd3d8.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/staging/32181a28eac3175d15fb8924d249bb0d91ca350c.pdf","Report"
"https://cdn.sanity.io/files/qoqld077/staging/36dbe5ca76da3d2392bcee581548067705b8bd36.pdf","Report"
"https://github.com/#public-competitions",""
"https://audits.sherlock.xyz/contests/1154","🥇1st"
"https://audits.sherlock.xyz/contests/62?filter=results","🥇1st"
"https://audits.sherlock.xyz/contests/968","🥇1st"
"https://audits.sherlock.xyz/contests/826","🥇1st"
"https://audits.sherlock.xyz/contests/857","🥉3rd"
"https://audits.sherlock.xyz/contests/755","🥇1st"
"https://audits.sherlock.xyz/contests/838","🥇1st"
"https://audits.sherlock.xyz/contests/550?filter=results","🥈2nd"
"https://audits.sherlock.xyz/contests/569?filter=results","🥇1st"
"https://audits.sherlock.xyz/contests/648","🥇1st"
"https://audits.sherlock.xyz/contests/643?filter=questions","🥇1st"
"https://audits.sherlock.xyz/contests/598?filter=results","🥇1st"
"https://cantina.xyz/competitions/4ee8716d-3e0e-4f59-b90d-aa56bf3b484c","🥉3rd"
"https://cantina.xyz/competitions/8337db39-e04e-470d-8090-0cfb9a7ec2dd","🥈2nd"
"https://audits.sherlock.xyz/contests/509?filter=results","🥇1st"
"https://audits.sherlock.xyz/contests/506","🥇1st"
"https://audits.sherlock.xyz/contests/494?filter=results","🥇1st"
"https://audits.sherlock.xyz/contests/516?filter=results","🥉3rd"
"https://audits.sherlock.xyz/contests/396","🥇1st"
"https://audits.sherlock.xyz/contests/225?filter=results","🥇1st"
"https://code4rena.com/audits/2024-05-arbitrum-bold","🥉3rd"
"https://cantina.xyz/competitions/d47f8096-8858-437d-a9f5-2fe85ac9b95e","🥈2nd"
"https://audits.sherlock.xyz/contests/295","🥉3rd"
"https://audits.sherlock.xyz/contests/247?filter=results","🥇1st"
"https://audits.sherlock.xyz/contests/280?filter=results","🥉3rd"
"https://code4rena.com/audits/2023-05-base","🥉3rd"
"https://github.com/#readme-ov-file","Readme"
"https://github.com/0xsimao/audits/activity","Activity"
"https://github.com/0xsimao/audits/stargazers","50 stars"
"https://github.com/0xsimao/audits/watchers","2 watching"
"https://github.com/0xsimao/audits/forks","5 forks"
"https://github.com/contact/report-content?content_url=https%3A%2F%2Fgithub.com%2F0xsimao%2Faudits&amp;report=0xsimao+%28user%29","Report repository"
"https://github.com/0xsimao/audits/releases","Releases"
"https://github.com/users/0xsimao/packages?repo_name=audits","Packages 0"
"https://github.com/0xsimao/audits/graphs/contributors","Contributors"
"https://github.com",""
"https://docs.github.com/site-policy/github-terms/github-terms-of-service","Terms"
"https://docs.github.com/site-policy/privacy-policies/github-privacy-statement","Privacy"
"https://github.com/security","Security"
"https://www.githubstatus.com/","Status"
"https://github.community/","Community"
"https://docs.github.com/","Docs"
"https://support.github.com?tags=dotcom-footer","Contact"
"https://github.com/features/ai/github-app","GitHub Copilot appDirect agents from issue to merge"
"https://github.com/0xsimao/audits/stargazers","49 stars"
"https://github.com/mcp","MCP RegistryIntegrate external tools"
"https://github.com/features/code-quality","Code QualityEnforce quality at merge"
