"Date","District","ProjectName","Address","PropertyType","Tenure","AreaSqFt","AreaType","PricePSF","Price"
"30 Apr 2026","10","BAN GUAN PARK","XX GREENLEAF ROAD","Detached","Freehold","6,162","Land","3,245","20,000,000"
"29 Apr 2026","15","N.A.","XX MARGATE ROAD","Detached","Freehold","9,803","Land","2,015","19,750,000"
"24 Apr 2026","15","FRANKEL ESTATE","XX JEDBURGH GARDENS","Detached","Freehold","4,300","Land","2,116","9,100,000"
"17 Apr 2026","14","N.A.","XX LORONG MARZUKI","Detached","Freehold","4,345","Land","1,841","8,000,000"
"16 Apr 2026","15","OPERA ESTATE","XX FIDELIO STREET","Detached","Freehold","6,251","Land","1,712","10,700,000"
"13 Apr 2026","15","N.A.","XX UPPER EAST COAST ROAD","Detached","Freehold","3,095","Land","2,068","6,400,000"
"10 Apr 2026","20","ADELPHI PARK ESTATE","XX GLADIOLA DRIVE","Detached","Freehold","3,763","Land","2,551","9,600,000"
"10 Apr 2026","21","CLEMENTI PARK","XX SUNSET CRESCENT","Detached","Freehold","8,048","Land","1,988","16,000,000"
"8 Apr 2026","10","SHAMROCK VILLAS","XX NAMLY PLACE","Detached","Freehold","6,135","Strata","888","5,450,000"
"6 Apr 2026","21","CLEMENTI PARK","XX SUNSET VIEW","Detached","Freehold","8,412","Land","1,746","14,688,888"
"25 Mar 2026","10","PRINCESS OF WALES PARK","XX DUCHESS ROAD","Detached","Freehold","4,237","Land","3,116","13,200,000"
"23 Mar 2026","13","N.A.","XX SOMMERVILLE WALK","Detached","Freehold","4,471","Land","2,500","11,180,000"
"20 Mar 2026","15","N.A.","XX BROADRICK ROAD","Detached","Freehold","6,892","Land","2,220","15,300,000"
"17 Mar 2026","13","N.A.","XX LYNWOOD GROVE","Detached","Freehold","4,792","Land","2,713","13,000,000"
"13 Mar 2026","13","N.A.","XX LYNWOOD GROVE","Detached","Freehold","4,725","Land","2,751","13,000,000"
"13 Mar 2026","25","N.A.","XX OAKWOOD GROVE","Detached","99 yrs FROM 1995","7,646","Land","589","4,500,000"
"13 Mar 2026","17","CHANGI GROVE","XX LENGKOK MARIAM","Detached","Freehold","5,861","Land","1,100","6,450,000"
"12 Mar 2026","21","CLEMENTI PARK","XX SUNSET CRESCENT","Detached","Freehold","7,790","Land","1,680","13,088,888"
"12 Mar 2026","28","SELETAR HILLS ESTATE","XX SARACA HILL","Detached","999 yrs FROM 1879","4,940","Land","1,421","7,018,000"
"6 Mar 2026","15","N.A.","XX AVON ROAD","Detached","Freehold","5,676","Land","2,660","15,100,000"
"6 Mar 2026","11","N.A.","XX DUNEARN ROAD","Detached","Freehold","24,190","Land","2,274","55,000,000"
"4 Mar 2026","19","SERANGOON GARDEN ESTATE","XX CHEPSTOW CLOSE","Detached","999 yrs FROM 1953","8,381","Land","1,131","9,480,000"
"3 Mar 2026","15","N.A.","XX BRANKSOME ROAD","Detached","Freehold","6,321","Land","2,674","16,900,000"
"3 Mar 2026","4","N.A.","XX COVE GROVE","Detached","99 yrs FROM 2007","9,244","Land","1,839","17,000,000"
"2 Mar 2026","15","N.A.","XX TEMBELING ROAD","Detached","Freehold","4,522","Land","2,211","10,000,000"
"2 Mar 2026","17","ASTON RESIDENCE","209 JALAN LOYANG BESAR #XX-XX","Detached","946 yrs FROM 1938","4,693","Strata","721","3,385,000"
"2 Mar 2026","13","BRADDELL HEIGHTS ESTATE","XX MATLOCK RISE","Detached","Freehold","5,041","Land","2,020","10,180,000"
"28 Feb 2026","10","CHIP HOCK GARDENS","XX JALAN HAROM SETANGKAI","Detached","Freehold","10,801","Land","2,037","22,000,000"
"27 Feb 2026","11","RAFFLES PARK","XX LINDEN DRIVE","Detached","Freehold","8,280","Land","2,319","19,200,000"
"27 Feb 2026","11","THE RESIDENCES AT BARKER","XX BARKER ROAD","Detached","Freehold","4,905","Land","2,161","10,600,000"
"25 Feb 2026","13","N.A.","XX DUNSFOLD DRIVE","Detached","Freehold","11,230","Land","1,380","15,500,000"
"25 Feb 2026","15","N.A.","XX PALM DRIVE","Detached","Freehold","5,357","Land","1,829","9,800,000"
"24 Feb 2026","28","SELETAR HILLS ESTATE","XX KASAI ROAD","Detached","999 yrs FROM 1879","4,414","Land","2,102","9,280,000"
"23 Feb 2026","15","D'WILKINSON","XX WILKINSON ROAD","Detached","Freehold","6,779","Land","2,478","16,800,000"
"20 Feb 2026","15","N.A.","XX SERAYA LANE","Detached","Freehold","13,280","Land","1,593","21,150,000"
"14 Feb 2026","10","N.A.","XX FERNHILL ROAD","Detached","Freehold","4,497","Land","4,066","18,288,000"
"13 Feb 2026","5","N.A.","XX CHWEE CHIAN VIEW","Detached","Freehold","3,040","Land","1,941","5,900,000"
"13 Feb 2026","10","N.A.","XX HOLLAND GROVE DRIVE","Detached","Freehold","4,369","Land","2,186","9,550,000"
"13 Feb 2026","21","N.A.","XX SUNSET VIEW","Detached","Freehold","4,636","Land","2,347","10,880,000"
"13 Feb 2026","13","N.A.","XX CROUCHER ROAD","Detached","Freehold","5,618","Land","1,744","9,800,000"
"13 Feb 2026","21","HONG KONG PARK","XX HUA GUAN AVENUE","Detached","999 yrs FROM 1879","4,720","Land","2,369","11,180,000"
"12 Feb 2026","19","N.A.","XX LANGE ROAD","Detached","999 yrs FROM 1878","6,233","Land","1,123","7,000,000"
"12 Feb 2026","23","N.A.","XX PHOENIX RISE","Detached","Freehold","6,916","Land","1,135","7,850,000"
