"Title","Link","Deadline","ReferenceNo"
"V2 top up","https://www.tendersontime.com/tenders-details/v2-top-8a3d2f8/","21 Jul 2026","144954104"
"Corrigendum - Provision to Design, Supply and Renovation of the Study Corner (Level 2) in Woodlands Secondary School","https://www.tendersontime.com/tenders-details/corrigendum---provision-design-supply-and-renovation-study-corner-level-2-woodlands-secondary-sch-8a3c436/","24 Jul 2026","144950326"
"Onetransport Brand Activation and Integrated Marketing Services","https://www.tendersontime.com/tenders-details/onetransport-brand-activation-and-integrated-marketing-services-8a3c31e/","06 Aug 2026","144950046"
"Quotation for Specialist Accredited Checking Services for Project Ek","https://www.tendersontime.com/tenders-details/quotation-specialist-accredited-checking-services-project-ek-8a3c319/","24 Jul 2026","144950041"
"Invitation to Quote for the Supply of Electro-Hydraulic Door Breaching Tool","https://www.tendersontime.com/tenders-details/invitation-quote-supply-electro-hydraulic-door-breaching-tool-8a3c313/","20 Jul 2026","144950035"
"Supply of Instructor for Malay Dance Cca Training Programme in Year 2027 with Option to Exercise for Year 2028 in Telok Kurau Primary School","https://www.tendersontime.com/tenders-details/supply-instructor-malay-dance-cca-training-programme-year-2027-option-exercise-year-2028-telok-kurau-8a3c30e/","20 Jul 2026","144950030"
"Supply of Instructor for Indian Dance Cca Training Programme for Year 2027 with Option to Exercise for Year 2028 in Telok Kurau Primary School","https://www.tendersontime.com/tenders-details/supply-instructor-indian-dance-cca-training-programme-year-2027-option-exercise-year-2028-telok-kura-8a3c309/","20 Jul 2026","144950025"
"Supply of Instructor for Choir Cca Training Programme in Year 2027 with Option to Exercise for Year 2028 in Telok Kurau Primary School","https://www.tendersontime.com/tenders-details/supply-instructor-choir-cca-training-programme-year-2027-option-exercise-year-2028-telok-kurau-prima-8a3c303/","20 Jul 2026","144950019"
"Supply of Instructor for Guzheng Cca Training Programme in Year 2027 with Option to Exercise for Year 2028 in Telok Kurau Primary School","https://www.tendersontime.com/tenders-details/supply-instructor-guzheng-cca-training-programme-year-2027-option-exercise-year-2028-telok-kurau-pri-8a3c2fe/","20 Jul 2026","144950014"
"Supply of Instructor for Chinese Dance Cca Training Programme for Year 2027 with Option to Exercise for Year 2028 in Telok Kurau Primary School","https://www.tendersontime.com/tenders-details/supply-instructor-chinese-dance-cca-training-programme-year-2027-option-exercise-year-2028-telok-kur-8a3c2f8/","20 Jul 2026","144950008"
"Rental of Market Stalls / Cooked Food Stalls at National Environment Agency (NEA) Market and Hawker Centres","https://www.tendersontime.com/tenders-details/rental-market-stalls-cooked-food-stalls-national-environment-agency-nea-market-and-hawker-centre-8a560ec/","27 Jul 2026","145055980"
"Installation of Flood Barrier Systems at Stamford Arts Centre.","https://www.tendersontime.com/tenders-details/installation-flood-barrier-systems-stamford-arts-centre-8a560e7/","11 Aug 2026","145055975"
"To access SPH's digital platforms.","https://www.tendersontime.com/tenders-details/to-access-sphs-digital-platforms-8a560e3/","31 Jul 2026","145055971"
"License / Lease of Commercial Units for Retail / F&B at Bus Interchanges, MRT Stations and LRT Stations.","https://www.tendersontime.com/tenders-details/license-lease-commercial-units-retail-fb-bus-interchanges-mrt-stations-and-lrt-stations-8a560e0/","17 Jul 2026","145055968"
"Term Contract for Servicing & Maintenance of Children Playgrounds and Fitness Corners for the Period 1 Sep 2026 to 31 Aug 2029 for Marsiling-yew Tee Town Council","https://www.tendersontime.com/tenders-details/term-contract-servicing-maintenance-children-playgrounds-and-fitness-corners-period-1-sep-2026-31-8a560df/","31 Jul 2026","145055967"
"Repairs and Redecoration Works","https://www.tendersontime.com/tenders-details/repairs-and-redecoration-works-8a560d7/","27 Jul 2026","145055959"
"For The Proposed Enhancement And Refurbishment Works To Existing Masjid Al-Taqua At 11a Jalan Bilal Singapore 468862","https://www.tendersontime.com/tenders-details/for-the-proposed-enhancement-and-refurbishment-works-to-existing-masjid-al-taqua-at-11a-jalan-bilal-8a560d4/","31 Jul 2026","145055956"
"Provision Of Video Production, Content Development, Creative Design And Social Media Content Services For Ang Mo Kio Town Councel For Period Of 1 October 2026 To 30 September 2029","https://www.tendersontime.com/tenders-details/provision-of-video-production-content-development-creative-design-and-social-media-content-service-8a560cb/","07 Aug 2026","145055947"
"A Reroofing To 06 Blocks At Chai Chee Avenue And Chai Chee Road (Contract Period - 10 Months)), For The License To Provide, Install, Operate And Maintain Vehicle Cleaning Machines From 01 Oct 2026 To ...","https://www.tendersontime.com/tenders-details/a-reroofing-to-06-blocks-at-chai-chee-avenue-and-chai-chee-road-contract-period---10-months-for-8a560bd/","31 Jul 2026","145055933"
"Medical Centre With Diagnostic Imaging Facilities (Lead Lined Rooms) At 2nd Storey At Block 192 Lorong 4 Toa Payoh","https://www.tendersontime.com/tenders-details/medical-centre-with-diagnostic-imaging-facilities-lead-lined-rooms-at-2nd-storey-at-block-192-loro-8a560b3/","07 Aug 2026","145055923"
"Provision of Period Contract for Supply and Delivery of Dental Material for Dental Laboratory, Faculty of Dentistry, National University of Singapore (NUSDen)","https://www.tendersontime.com/tenders-details/provision-period-contract-supply-and-delivery-dental-material-dental-laboratory-faculty-dentistry-8a6818e/","27 Jul 2026","145129870"
"Supply, deliver, install, commission, and provide training for 1 unit of Integrated Focused Ultrasound System and 1 unit of Mid-Frequency Transducer","https://www.tendersontime.com/tenders-details/supply-deliver-install-commission-and-provide-training-1-unit-integrated-focused-ultrasound-syst-8a674b5/","22 Jul 2026","145126581"
"Advertising campaign services","https://www.tendersontime.com/tenders-details/advertising-campaign-services-8a674b4/","24 Jul 2026","145126580"
"Provision of Wafer Fabrication and Packaging Services for School of Electrical and Electronic Engineering, NTU","https://www.tendersontime.com/tenders-details/provision-wafer-fabrication-and-packaging-services-school-electrical-and-electronic-engineering-ntu-8a674b2/","23 Jul 2026","145126578"
"Supply, Delivery, Installation of Home Appliances and Provision of Disposal, Removal Services for Faulty, Existing Appliances to National University of Singapore","https://www.tendersontime.com/tenders-details/supply-delivery-installation-home-appliances-and-provision-disposal-removal-services-faulty-exis-8a653a4/","11 Aug 2026","145118116"
"Invitation to Quote for the Supply, Delivery, Installation, Acceptance Test, Commissioning, and Training of Gel and Western Blot Imaging system","https://www.tendersontime.com/tenders-details/invitation-quote-supply-delivery-installation-acceptance-test-commissioning-and-training-gel-an-8a6539b/","20 Jul 2026","145118107"
"Invitation to Quote for the Supply, Delivery, Installation, Testing, Data Collection and Monitoring of Pavement Sensors and Datalogger for the Centre of Protective Technology, National University of S...","https://www.tendersontime.com/tenders-details/invitation-quote-supply-delivery-installation-testing-data-collection-and-monitoring-pavement-se-8a65392/","20 Jul 2026","145118098"
"ITQ for Replacement of PLC MV Fan Controllers at MD11","https://www.tendersontime.com/tenders-details/itq-replacement-plc-mv-fan-controllers-md11-8a65389/","23 Jul 2026","145118089"
