"Name","LastKnownName","UEN","SocietyRegisteredAddress","RegisteredDate"
"ASSOCIATION OF FOREST AND HORTICULTURAL THERAPY (SINGAPORE)","","T26SS0139C","60 PAYA LEBAR ROAD, #06-28 PAYA LEBAR SQUARE, Singapore 409051","2026-07-16"
"Lions Club of Singapore Concordia","","T26SS0140L","1 BUKIT BATOK STREET 25, #04-20 PARKVIEW APARTMENTS, Singapore 658882","2026-07-16"
"Society of Dialysis Access Specialists","","T17SS0175H","60 PAYA LEBAR ROAD, #06-28 PAYA LEBAR SQUARE, Singapore 409051","2017-09-14"
"Xiao Lian Jing Zong","","T26SS0142C","6 CLEMENTI AVENUE 1, #12-05 CLAVON, Singapore 129963","2026-07-16"
"Asia Pacific Institute of Experts","Expert Witness Institute Singapore","T19SS0091J","883 NORTH BRIDGE ROAD, #02-03 SOUTHBANK, Singapore 198785","2019-05-19"
"Changi Airport Recreation Club","","S90SS0083D","60 AIRPORT BOULEVARD, TERMINAL 2 CARPARK 2B LEVEL 3 & 3M, #03-700 & #03-710, Singapore 819643","1990-06-19"
"Mensa (Singapore)","","S89SS0013L","600 NORTH BRIDGE ROAD, #23-01 PARKVIEW SQUARE, Singapore 188778","1989-06-08"
"ONE (SINGAPORE)","","T05SS0263L","60 PAYA LEBAR ROAD, #06-28 PAYA LEBAR SQUARE, Singapore 409051","2005-10-19"
"Shan Qing Tang Temple","","T02SS0108K","113 EUNOS AVENUE 3, #06-03 GORDON INDUSTRIAL BUILDING, Singapore 409838","2002-06-27"
"Singaporean Society of Lifestyle Medicine","","T23SS0105L","60 PAYA LEBAR ROAD, #06-28 PAYA LEBAR SQUARE, Singapore 409051","2023-09-25"
"Storytelling Association (Singapore)","","T06SS0073F","24 SIMEI STREET 1, #05-09 MELVILLE PARK, Singapore 529946","2006-02-27"
"Char Yang (Dabu) Lee Chee Association","Char Yang Lee Chee Association","S34SS0002C","13A LORONG 17 GEYLANG, Singapore 388544","1934-09-06"
"Entrusting the Word","","T07SS0064B","10 ANSON ROAD, #13-03 INTERNATIONAL PLAZA, Singapore 079903","2007-05-07"
