"Status","ReferenceNo","PlanType","InitialSum","MaturityYear","AnnualPremium","MaturityValue","AnnualReturnsPct"
"Available","G0205848515 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: AELP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 8,011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 8/15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2042                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 1,042                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 23,637                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): -    Enquire Now -->","AELP","8,011","2042","1,042","23,637","-"
"Available","G0215675454 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: LP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 23,654                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 4/14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2040                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 4,000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 71,445                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 6.0 - 5.5    Enquire Now -->","LP","23,654","2040","4,000","71,445","6.0 - 5.5"
"Available","M2491650705 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: LP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 25,367                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 3/13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2039                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 3,493                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 61,538                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 5.6 - 5.4    Enquire Now -->","LP","25,367","2039","3,493","61,538","5.6 - 5.4"
"New","M2492634328 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: AELP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 15,072                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 5/7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2033                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 4,002                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 35,660                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): -    Enquire Now -->","AELP","15,072","2033","4,002","35,660","-"
"Available","N0011521345 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: RP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 61,127                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2035                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 1,367                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 97,963                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 4.4 - 3.8    Enquire Now -->","RP","61,127","2035","1,367","97,963","4.4 - 3.8"
"Available","P32223809 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: RP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 36,851                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2036                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 1,201                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 70,265                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 4.8 - 4.0    Enquire Now -->","RP","36,851","2036","1,201","70,265","4.8 - 4.0"
"Available","P58085771 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: RP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 8,933                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2040                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 777                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 29,511                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 5.7 - 4.3    Enquire Now -->","RP","8,933","2040","777","29,511","5.7 - 4.3"
"Available","P67861711 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: LP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 23,678                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 1/11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2038                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 2,400                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 41,701                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 5.1 - 5.1    Enquire Now -->","LP","23,678","2038","2,400","41,701","5.1 - 5.1"
"Available","P68397603 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: LP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 23,635                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 1/11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2038                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 2,412                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 41,904                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 5.2 - 5.1    Enquire Now -->","LP","23,635","2038","2,412","41,904","5.2 - 5.1"
"Available","P69475352 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: LP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 41,273                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 2/12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2038                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 4,823                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 83,807                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 5.3 - 5.2    Enquire Now -->","LP","41,273","2038","4,823","83,807","5.3 - 5.2"
