"Date","District","ProjectName","Address","PropertyType","Tenure","AreaSqFt","AreaType","PricePSF","Price"
"7 Aug 2026","11","DUNEARN ESTATE","XX BERRIMA ROAD","Detached","Freehold","5,304","Land","2,805","14,880,000"
"6 Aug 2026","11","N.A.","XX MERRYN ROAD","Detached","Freehold","4,522","Land","2,804","12,680,000"
"5 Aug 2026","15","N.A.","XX BOURNEMOUTH ROAD","Detached","Freehold","6,462","Land","2,507","16,200,000"
"2 Aug 2026","10","CHIP HOCK GARDENS","XX JALAN HAROM SETANGKAI","Detached","Freehold","9,270","Land","2,619","24,280,000"
"11 Aug 2026","23","PAVILION PARK","XX PAVILION STREET","Semi-Detached","Freehold","2,153","Land","2,230","4,800,000"
"7 Aug 2026","19","N.A.","XX GLASGOW ROAD","Semi-Detached","Freehold","3,919","Land","1,909","7,480,000"
"7 Aug 2026","20","MING PARK","XX JALAN BINCHANG","Semi-Detached","Freehold","4,311","Land","2,111","9,100,000"
"7 Aug 2026","25","WOODLANDS PARK","XX JALAN BUMBONG","Semi-Detached","Freehold","4,824","Land","1,426","6,880,000"
"6 Aug 2026","5","FABER HILLS","XX FABER GREEN","Semi-Detached","Freehold","4,097","Land","1,908","7,818,000"
"6 Aug 2026","10","LUCKY PARK","XX LANTANA AVENUE","Semi-Detached","Freehold","4,171","Land","2,158","9,000,000"
"5 Aug 2026","16","N.A.","XX SENNETT LANE","Semi-Detached","Freehold","3,267","Land","2,112","6,900,000"
"5 Aug 2026","17","N.A.","XX TANAH MERAH BESAR LANE","Semi-Detached","Freehold","5,088","Land","951","4,840,000"
"4 Aug 2026","21","N.A.","XX DUNEARN ROAD","Semi-Detached","Freehold","3,100","Land","2,203","6,828,000"
"31 Jul 2026","14","KEMBANGAN VILLAS","XX JALAN KEMBANGAN","Semi-Detached","Freehold","2,310","Land","2,511","5,800,000"
"14 Jul 2026","25","WOODLANDS PARK","XX JALAN BUMBONG","Semi-Detached","Freehold","3,998","Land","1,273","5,088,800"
"13 Jul 2026","20","N.A.","XX JALAN BERJAYA","Semi-Detached","Freehold","2,816","Land","3,178","8,950,000"
"29 May 2026","28","SERENE PARK","XX TAMARIND ROAD","Semi-Detached","Freehold","3,852","Land","1,246","4,800,000"
"11 Aug 2026","15","N.A.","XX EVERITT ROAD","Terrace","Freehold","1,757","Land","3,074","5,400,000"
"7 Aug 2026","15","N.A.","XX STILL LANE","Terrace","Freehold","1,810","Land","2,476","4,482,000"
"7 Aug 2026","5","PASIR PANJANG GARDENS","XX JALAN MAS KUNING","Terrace","Freehold","1,474","Land","2,511","3,700,000"
"6 Aug 2026","20","CORAL PARK","XX PEMIMPIN TERRACE","Terrace","Freehold","1,793","Land","2,486","4,458,000"
"6 Aug 2026","28","LUXUS HILLS","XX LUXUS HILL DRIVE","Terrace","999 yrs FROM 1879","1,615","Land","3,239","5,228,888"
"6 Aug 2026","10","SOMMERVILLE PARK","93 FARRER DRIVE #XX-XX","Terrace","Freehold","4,101","Strata","1,663","6,820,000"
"6 Aug 2026","18","THE RIVERINA","XX RIVERINA WALK","Terrace","99 yrs FROM 1996","1,619","Land","1,668","2,700,000"
"6 Aug 2026","5","THE VISION","XX WEST COAST CRESCENT","Terrace","99 yrs FROM 2008","5,350","Strata","572","3,060,168"
"6 Aug 2026","28","POLLEN COLLECTION II","XX POLLEN RISE","Terrace","99 yrs FROM 2025","1,615","Land","2,611","4,216,000"
"5 Aug 2026","20","THOMSON GARDEN ESTATE","XX JALAN ISNIN","Terrace","Freehold","1,022","Land","3,524","3,600,000"
"5 Aug 2026","20","THOMSON HILLS ESTATE","XX THOMSON HILLS DRIVE","Terrace","Freehold","2,252","Land","1,976","4,450,000"
"4 Aug 2026","15","OPERA ESTATE","XX JALAN BANGSAWAN","Terrace","Freehold","1,700","Land","3,360","5,710,000"
"30 Jul 2026","22","LAKESIDE GROVE","XX CORPORATION RISE","Terrace","99 yrs FROM 1996","2,154","Land","1,393","3,000,000"
"30 Jul 2026","20","THOMSON GARDEN ESTATE","XX JALAN PINTAU","Terrace","Freehold","885","Land","4,272","3,780,000"
"30 Jul 2026","28","BELGRAVIA VILLAS","XX BELGRAVIA DRIVE","Terrace","Freehold","3,703","Strata","1,096","4,060,000"
"28 Jul 2026","20","CLOVER PARK","XX CLOVER WAY","Terrace","Freehold","3,395","Land","2,023","6,868,888"
"27 Jul 2026","10","HENRY PARK","XX GROVE DRIVE","Terrace","Freehold","2,009","Land","2,838","5,700,000"
"22 Jul 2026","28","MIMOSA TERRACE","XX SARACA ROAD","Terrace","Freehold","1,615","Land","2,570","4,150,000"
"10 Jul 2026","16","KEW GROVE","XX KEW DRIVE","Terrace","Freehold","2,244","Land","2,228","5,000,000"
"9 Jul 2026","28","SELETAR GARDEN","XX CACTUS ROAD","Terrace","Freehold","3,831","Land","1,253","4,800,000"
"9 Jul 2026","10","THE TENERIFFE","XX LAUREL WOOD AVENUE","Terrace","99 yrs FROM 1996","3,122","Strata","1,067","3,330,000"
"10 Jun 2026","17","LOYANG VILLAS","XX LOYANG RISE","Terrace","99 yrs FROM 1993","1,615","Land","1,669","2,695,000"
"13 May 2026","5","WEST COAST GARDENS","XX WEST COAST AVENUE","Terrace","956 yrs FROM 1928","1,807","Land","2,550","4,608,000"
"30 Apr 2026","19","N.A.","XX BERWICK DRIVE","Terrace","999 yrs FROM 1955","2,514","Land","2,617","6,580,000"
"12 Aug 2026","15","N.A.","XX WOO MON CHEW ROAD","Detached","Freehold","6,767","Land","2,000","13,536,000"
"12 Aug 2026","11","WATTEN RESIDENCES","XX WATTEN RISE","Detached","Freehold","4,941","Strata","1,093","5,400,000"
"7 Aug 2026","11","N.A.","XX HILLCREST ROAD","Detached","Freehold","7,068","Land","2,335","16,500,000"
"13 Aug 2026","20","THOMSON GARDEN ESTATE","XX JALAN RABU","Semi-Detached","Freehold","2,398","Land","2,914","6,988,000"
"11 Aug 2026","28","SELETAR HILLS ESTATE","XX JALAN JARAK","Semi-Detached","Freehold","3,443","Land","2,361","8,129,000"
"11 Aug 2026","16","SIMEI GARDEN","XX JALAN SOO BEE","Semi-Detached","Freehold","4,830","Land","1,408","6,800,000"
"31 Jul 2026","19","N.A.","XX JALAN LOKAM","Semi-Detached","Freehold","4,208","Land","1,497","6,300,000"
"29 Jul 2026","26","SPRINGLEAF VILLAS","XX SPRINGLEAF CRESCENT","Semi-Detached","Freehold","3,531","Strata","940","3,318,888"
"15 Aug 2026","28","POLLEN COLLECTION II","XX POLLEN RISE","Terrace","99 yrs FROM 2025","1,615","Land","2,609","4,212,000"
"14 Aug 2026","19","N.A.","XX RICHARDS AVENUE","Terrace","Freehold","3,481","Land","1,566","5,450,000"
"13 Aug 2026","28","N.A.","XX MUGLISTON GARDENS","Terrace","999 yrs FROM 1886","1,925","Land","2,333","4,490,000"
"13 Aug 2026","14","EUHABITAT","XX JALAN EUNOS","Terrace","99 yrs FROM 2010","3,380","Strata","962","3,250,000"
"13 Aug 2026","20","MAYFLOWER GARDENS","XX MAYFLOWER TERRACE","Terrace","Freehold","2,020","Land","2,339","4,725,000"
"13 Aug 2026","19","SERANGOON GARDEN ESTATE","XX BRAEMAR DRIVE","Terrace","999 yrs FROM 1955","2,800","Land","2,064","5,780,000"
"12 Aug 2026","20","HORIZON GREEN","XX ANG MO KIO AVENUE 2","Terrace","99 yrs FROM 1995","3,305","Strata","941","3,108,000"
"12 Aug 2026","20","SEMBAWANG HILLS ESTATE","XX NEMESU AVENUE","Terrace","Freehold","1,500","Land","2,632","3,950,000"
"11 Aug 2026","11","N.A.","XX HILLCREST ROAD","Terrace","Freehold","1,822","Land","3,227","5,880,000"
"11 Aug 2026","28","CABANA","XX SUNRISE TERRACE","Terrace","103 yrs FROM 2009","2,992","Strata","988","2,956,000"
