"Date","District","ProjectName","Address","PropertyType","Tenure","AreaSqFt","AreaType","PricePSF","Price"
"8 Sep 2026","28","RIVERBANK @ FERNVALE","15 FERNVALE CLOSE #XX-XX","Condominium","99 yrs FROM 2013","990","Strata","1,473","1,458,888"
"8 Sep 2026","28","HIGH PARK RESIDENCES","31 FERNVALE ROAD #XX-XX","Apartment","99 yrs FROM 2014","893","Strata","1,477","1,320,000"
"7 Sep 2026","28","RIVERTREES RESIDENCES","29 FERNVALE CLOSE #XX-XX","Apartment","99 yrs FROM 2013","947","Strata","1,668","1,580,000"
"7 Sep 2026","14","SIMS URBAN OASIS","10 SIMS DRIVE #XX-XX","Condominium","99 yrs FROM 2014","958","Strata","1,879","1,800,000"
"7 Sep 2026","18","TREASURE AT TAMPINES","49 TAMPINES LANE #XX-XX","Condominium","99 yrs FROM 2018","915","Strata","1,845","1,688,000"
"7 Sep 2026","10","PERFECT TEN","323 BUKIT TIMAH ROAD #XX-XX","Apartment","Freehold","786","Strata","3,220","2,530,000"
"7 Sep 2026","15","LIV @ MB","114B ARTHUR ROAD #XX-XX","Condominium","99 yrs FROM 2021","829","Strata","2,586","2,143,000"
"4 Sep 2026","22","LAKEPOINT CONDOMINIUM","2 LAKEPOINT DRIVE #XX-XX","Condominium","99 yrs FROM 1983","915","Strata","1,060","970,000"
"4 Sep 2026","15","PARK COURT","9 LORONG 101 CHANGI #XX-XX","Apartment","Freehold","958","Strata","1,324","1,268,000"
"4 Sep 2026","15","SUNSHINE REGENCY","11 RAMBAI ROAD #XX-XX","Apartment","Freehold","764","Strata","1,766","1,350,000"
"4 Sep 2026","28","PARC BOTANNIA","12 FERNVALE STREET #XX-XX","Condominium","99 yrs FROM 2016","872","Strata","1,675","1,460,000"
"3 Sep 2026","21","HUME PARK I","1 HUME AVENUE #XX-XX","Condominium","Freehold","904","Strata","1,692","1,530,000"
"3 Sep 2026","19","THE PROMENADE@PELIKAT","183 JALAN PELIKAT #XX-XX","Apartment","Freehold","969","Strata","1,290","1,250,000"
"3 Sep 2026","25","NORTHWAVE","107 WOODLANDS VIEW #XX-XX","Exec Condo","99 yrs FROM 2015","980","Strata","1,307","1,280,000"
"3 Sep 2026","19","RIVERFRONT RESIDENCES","51 HOUGANG AVENUE 7 #XX-XX","Apartment","99 yrs FROM 2018","915","Strata","1,661","1,520,000"
"26 Aug 2026","3","THE CREST","113 PRINCE CHARLES CRESCENT #XX-XX","Condominium","99 yrs FROM 2012","904","Strata","1,911","1,728,000"
"25 Aug 2026","18","RIVELLE TAMPINES","59 TAMPINES STREET 95 #XX-XX","Exec Condo","99 yrs FROM 2025","883","Strata","1,924","1,698,000"
"11 Aug 2026","5","PARC CLEMATIS","8E JALAN LEMPENG #XX-XX","Apartment","99 yrs FROM 2019","893","Strata","1,623","1,450,000"
