"MoniesId","ClaimedName","LastKnownStreetAddress","CategoryName","YearCollected","AgencyName","CreatedDate","Remarks"
"28e1c978-a18d-4b7b-9c84-02379e134a01","SPRINGMOUNT SERVICES PTE. LTD.","80 ROBINSON ROAD","Other Refunds","2025","Ministry of Manpower","4/13/2026 2:33:07 PM","Refund of overstaying fines incurred for Puvanesvari Ramasamy"
"7a761ff2-49ce-4214-bb27-16fb28627fa9","FIVE STAR CUISINE PTE. LTD.","5 MANDAI LINK","Other Refunds","2025","Ministry of Manpower","4/13/2026 2:39:48 PM","Refund of overstaying fines incurred for Eugine Chok Yen Kai"
"0193f8dd-cfb2-4f8b-9eab-d249fb1988e9","ZHICHENG LOGISTIC & MANPOWER SUPPORT PTE. LTD.","33 UBI AVENUE 3","Levy Bond","2025","Ministry of Manpower","5/26/2026 4:36:23 AM",
"03bdb454-cace-4947-865a-fef3a2b655db","ONBEST PRIVATE LIMITED","30 JOO AVENUE","Levy Bond","2025","Ministry of Manpower","10/21/2025 2:17:17 AM",
"0f9772ce-1462-48f0-b5e9-234ba75cf673","JNF TRADING & CONSTRUCTION PTE. LTD.","790 CHOA CHU KANG NORTH 6","Levy Bond","2025","Ministry of Manpower","9/23/2025 3:22:55 AM",
"1005d63b-3e47-4b72-aa9d-0ef912758a83","SG SUNSHADE GURU PTE. LTD.","39A JALAN PEMIMPIN","Levy Bond","2025","Ministry of Manpower","2/27/2026 7:45:19 AM",
"123827ea-cbdb-4690-850f-d7c61a45166e","YI XING RENOVATION PROJECTS PTE. LTD.","113 EUNOS AVENUE 3","Levy Bond","2025","Ministry of Manpower","11/30/2025 12:59:49 AM",
"267838bf-ed37-4818-81fd-bb3ae72367e4","BUJANG SENANG","124 MARSILING RISE","Levy Bond","2025","Ministry of Manpower","5/26/2026 4:40:03 AM",
"2822e83d-eb3a-4fbb-a009-75a166872efb","AVST PTE. LTD.","56 NEW UPPER CHANGI ROAD","Levy Bond","2025","Ministry of Manpower","5/26/2026 4:36:00 AM",
"2dc1d9fd-84ab-4ee0-8043-172c00bc389b","ENY PERFECT","692 JURONG WEST CENTRAL 1","Levy Bond","2025","Ministry of Manpower","4/20/2026 2:56:52 AM",
"37c98a5d-a715-4c99-9968-96afda2d3592","ASIA SAFETY WINDOW SYSTEMS","32 OLD TOH TUCK ROAD","Levy Bond","2025","Ministry of Manpower","4/27/2026 2:10:54 AM",
"386efd0a-c2ce-4a6e-87d2-5d15dc800a89","MING ANN CONSTRUCTION & ENGINEERING PTE. LTD.","314 WOODLANDS STREET 31","Levy Bond","2025","Ministry of Manpower","4/28/2026 7:54:11 AM",
"39531008-9292-44d5-9db7-63166a31b47f","ENY PERFECT","692 JURONG WEST CENTRAL 1","Levy Bond","2025","Ministry of Manpower","9/23/2025 3:23:37 AM",
"40590a03-7dac-4cb0-b46b-776ef7ea8c8f","CYY AIRCON & HOTEL ENGINEERING PTE. LTD.","112 SIMS AVENUE","Levy Bond","2025","Ministry of Manpower","11/30/2025 1:00:30 AM",
"4ce12812-444d-4a22-8c0d-c71e0c170d8f","YSG ELECTRICAL PTE. LTD.","100 PECK SEAH STREET","Levy Bond","2025","Ministry of Manpower","1/21/2026 1:52:36 PM",
"50f31623-7485-4772-be4c-599eb6b7da05","MOOD COLLECTIVES PTE. LTD.","62 UBI ROAD 1","Levy Bond","2025","Ministry of Manpower","2/27/2026 7:48:44 AM",
"5c52f1d8-68a0-4639-8859-33c43bb2ad17","PVM ENGINEERING & CONSTRUCTION PTE. LTD.","19 VEERASAMY ROAD","Levy Bond","2025","Ministry of Manpower","5/26/2026 4:34:46 AM",
"5dd36ca4-c9ad-45de-8c52-b01cacca7ef6","BEST BUILDERS PRIVATE LIMITED","1 KAKI BUKIT AVENUE 6","Levy Bond","2025","Ministry of Manpower","10/21/2025 2:20:42 AM",
"63467145-1f89-4015-8f7e-6ed79c603296","SUNLIGHT AIR-COND CONTRACTORS PTE. LTD.","468 TAMPINES STREET 44","Levy Bond","2025","Ministry of Manpower","5/26/2026 4:39:37 AM",
"65094cc2-f2c8-47d6-8f30-accf886edf43","MBR RENOVATION & ENGINEERING PTE. LTD.","11 SAM LEONG ROAD","Levy Bond","2025","Ministry of Manpower","4/27/2026 2:13:07 AM",
